n,time_euler,time_hamilton
5,4.660000e-06,6.433333e-06
10,1.128000e-05,1.976667e-05
15,1.290000e-05,2.446667e-05
20,2.212000e-05,4.250000e-05
25,2.784000e-05,2.445467e-03
30,4.112000e-05,1.453697e-02
35,5.084000e-05,5.770860e-02
40,6.296000e-05,6.056667e-05
45,9.950000e-05,2.736993e-02
50,9.380000e-05,9.336667e-05
55,1.134600e-04,1.319643e-02
60,1.111400e-04,4.212592e-01
65,1.308600e-04,1.000000e+00
70,1.534200e-04,2.840087e-01
